dbname	private
aawiki	0
aawikibooks	0
aawiktionary	0
abwiki	0
abwiktionary	0
acewiki	0
advisorywiki	0
adywiki	0
afwiki	0
afwikibooks	0
afwikiquote	0
afwiktionary	0
akwiki	0
akwikibooks	0
akwiktionary	0
alswiki	0
alswikibooks	0
alswikiquote	0
alswiktionary	0
amwiki	0
amwikiquote	0
amwiktionary	0
angwiki	0
angwikibooks	0
angwikiquote	0
angwikisource	0
angwiktionary	0
anwiki	0
anwiktionary	0
arbcom_cswiki	1
arbcom_dewiki	1
arbcom_enwiki	1
arbcom_fiwiki	1
arbcom_nlwiki	1
arcwiki	0
arwiki	0
arwikibooks	0
arwikimedia	0
arwikinews	0
arwikiquote	0
arwikisource	0
arwikiversity	0
arwiktionary	0
arzwiki	0
astwiki	0
astwikibooks	0
astwikiquote	0
astwiktionary	0
aswiki	0
aswikibooks	0
aswikisource	0
aswiktionary	0
auditcomwiki	1
avwiki	0
avwiktionary	0
aywiki	0
aywikibooks	0
aywiktionary	0
azbwiki	0
azwiki	0
azwikibooks	0
azwikiquote	0
azwikisource	0
azwiktionary	0
barwiki	0
bat_smgwiki	0
bawiki	0
bawikibooks	0
bclwiki	0
bdwikimedia	0
be_x_oldwiki	0
betawikiversity	0
bewiki	0
bewikibooks	0
bewikimedia	0
bewikiquote	0
bewikisource	0
bewiktionary	0
bgwiki	0
bgwikibooks	0
bgwikinews	0
bgwikiquote	0
bgwikisource	0
bgwiktionary	0
bhwiki	0
bhwiktionary	0
biwiki	0
biwikibooks	0
biwiktionary	0
bjnwiki	0
bmwiki	0
bmwikibooks	0
bmwikiquote	0
bmwiktionary	0
bnwiki	0
bnwikibooks	0
bnwikisource	0
bnwiktionary	0
boardgovcomwiki	1
boardwiki	1
bowiki	0
bowikibooks	0
bowiktionary	0
bpywiki	0
brwiki	0
brwikimedia	0
brwikiquote	0
brwikisource	0
brwiktionary	0
bswiki	0
bswikibooks	0
bswikinews	0
bswikiquote	0
bswikisource	0
bswiktionary	0
bugwiki	0
bxrwiki	0
cawiki	0
cawikibooks	0
cawikimedia	0
cawikinews	0
cawikiquote	0
cawikisource	0
cawiktionary	0
cbk_zamwiki	0
cdowiki	0
cebwiki	0
cewiki	0
chairwiki	1
chapcomwiki	1
checkuserwiki	1
chowiki	0
chrwiki	0
chrwiktionary	0
chwiki	0
chwikibooks	0
chwiktionary	0
chywiki	0
ckbwiki	0
cnwikimedia	0
collabwiki	1
commonswiki	0
cowiki	0
cowikibooks	0
cowikimedia	0
cowikiquote	0
cowiktionary	0
crhwiki	0
crwiki	0
crwikiquote	0
crwiktionary	0
csbwiki	0
csbwiktionary	0
cswiki	0
cswikibooks	0
cswikinews	0
cswikiquote	0
cswikisource	0
cswikiversity	0
cswiktionary	0
cuwiki	0
cvwiki	0
cvwikibooks	0
cywiki	0
cywikibooks	0
cywikiquote	0
cywikisource	0
cywiktionary	0
dawiki	0
dawikibooks	0
dawikiquote	0
dawikisource	0
dawiktionary	0
dewiki	0
dewikibooks	0
dewikinews	0
dewikiquote	0
dewikisource	0
dewikiversity	0
dewikivoyage	0
dewiktionary	0
diqwiki	0
dkwikimedia	0
donatewiki	0
dsbwiki	0
dvwiki	0
dvwiktionary	0
dzwiki	0
dzwiktionary	0
ecwikimedia	1
eewiki	0
elwiki	0
elwikibooks	0
elwikinews	0
elwikiquote	0
elwikisource	0
elwikiversity	0
elwikivoyage	0
elwiktionary	0
emlwiki	0
enwiki	0
enwikibooks	0
enwikinews	0
enwikiquote	0
enwikisource	0
enwikiversity	0
enwikivoyage	0
enwiktionary	0
eowiki	0
eowikibooks	0
eowikinews	0
eowikiquote	0
eowikisource	0
eowiktionary	0
eswiki	0
eswikibooks	0
eswikinews	0
eswikiquote	0
eswikisource	0
eswikiversity	0
eswikivoyage	0
eswiktionary	0
etwiki	0
etwikibooks	0
etwikimedia	0
etwikiquote	0
etwikisource	0
etwiktionary	0
euwiki	0
euwikibooks	0
euwikiquote	0
euwiktionary	0
execwiki	1
extwiki	0
fawiki	0
fawikibooks	0
fawikinews	0
fawikiquote	0
fawikisource	0
fawikivoyage	0
fawiktionary	0
fdcwiki	1
ffwiki	0
