month	edit_count
200302	2
200307	4
200308	2
200310	4
200312	8
200402	5
200403	3
200405	8
200406	2
200407	5
200408	6
200409	9
200410	6
200411	120
200412	2
200501	37
200502	104
200503	51
200504	150
200505	88
200506	257
200507	178
200508	637
200509	197
200510	238
200511	324
200512	423
200601	996
200602	776
200603	535
200604	857
200605	1203
200606	1460
200607	1168
200608	482
200609	584
200610	803
200611	1277
200612	943
200701	1256
200702	1358
200703	2133
200704	837
200705	984
200706	1158
200707	1668
200708	1854
200709	1425
200710	1929
200711	3101
200712	2058
200801	2457
200802	2760
200803	1670
200804	2260
200805	1926
200806	1862
200807	1698
200808	1425
200809	1989
200810	1714
200811	1120
200812	2192
200901	2765
200902	2310
200903	3276
200904	3873
200905	3249
200906	3300
200907	3659
200908	2175
200909	3341
200910	2590
200911	2766
200912	2572
201001	3410
201002	3722
201003	3464
201004	3260
201005	4891
201006	5894
201007	3338
201008	4172
201009	3705
201010	4326
201011	4858
201012	3831
201101	5232
201102	3513
201103	5096
201104	3371
201105	4867
201106	4911
201107	3270
201108	4227
201109	4184
201110	4068
201111	6431
201112	4644
201201	6241
201202	7096
201203	6103
201204	7712
201205	7164
201206	5768
201207	4391
201208	5527
201209	3287
201210	4193
201211	4515
201212	4077
201301	5449
201302	4977
201303	4906
201304	6643
201305	4994
201306	3843
201307	5145
201308	5970
201309	8577
201310	4058
201311	14088
201312	5587
201401	5430
201402	7209
201403	6374
201404	5880
201405	6412
201406	7275
201407	4930
201408	4519
201409	3585
201410	5237
201411	5240
201412	6843
201501	7547
201502	11705
201503	13556
201504	5650
201505	4975
201506	5562
201507	5125
201508	6101
201509	5241
201510	4789
201511	6213
201512	5251
201601	7309
201602	5118
201603	5056
201604	4642
201605	5158
201606	4816
201607	3858
201608	3907
201609	5669
201610	6750
201611	4244
201612	3897
