month	edit_count
200409	43
200410	1
200412	4
200501	17
200502	2
200503	3
200506	2
200509	1
200511	3
200512	1
200609	2
200610	7
200612	49
200701	12
200702	10
200703	11
200704	7
200706	3
200709	56
200710	47
200711	24
200712	63
200801	42
200802	189
200803	154
200804	112
200805	8
200806	2
200807	13
200808	51
200809	18
200810	134
200811	122
200812	26
200901	71
200902	211
200903	759
200904	171
200905	166
200906	142
200907	357
200908	1506
200909	970
200910	1132
200911	2087
200912	1304
201001	1685
201002	1044
201003	376
201004	1455
201005	608
201006	2357
201007	309
201008	809
201009	4950
201010	3865
201011	4004
201012	6419
201101	2981
201102	778
201103	1772
201104	1927
201105	2878
201106	2492
201107	3538
201108	2594
201109	2896
201110	7438
201111	8042
201112	8623
201201	5867
201202	3849
201203	3091
201204	3889
201205	5850
201206	4667
201207	3893
201208	6223
201209	6416
201210	11543
201211	10182
201212	12723
201301	8255
201302	8125
201303	10212
201304	7808
201305	5985
201306	8702
201307	12061
201308	7014
201309	12545
201310	8489
201311	18038
201312	10734
201401	9493
201402	11232
201403	9854
201404	7898
201405	9515
201406	10337
201407	9547
201408	8278
201409	10067
201410	8521
201411	7052
201412	8733
201501	6583
201502	25417
201503	33067
201504	17706
201505	10778
201506	11505
201507	10266
201508	15154
201509	14649
201510	13682
201511	11416
201512	14920
201601	12819
201602	12421
201603	13618
201604	11501
201605	13801
201606	10739
201607	11111
201608	11793
201609	11818
201610	12903
201611	15246
201612	10900
